GPKODE	UMCU	ICC	NEO	ICK	HCK	FilterUMCU	FilterICC	FilterNEO	FilterICK	FilterHCK	Generic	UseGenName	UseShape	UseBrand	TallMan	Mmol	Divisible	GStand	Shape	Brand	GenName
73342	x	x				TRUE	TRUE	FALSE	FALSE	FALSE	TOBRAMYCINE						10	TOBRAMYCINE	INJECTIEVLOEISTOF	OBRACIN	TOBRAMYCINE SULFAAT
113158						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	POEDER VOOR CEMENT		TOBRAMYCINE SULFAAT
113166						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	POEDER VOOR CEMENT		TOBRAMYCINE SULFAAT
113565	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	VERNEVELVLOEISTOF	TOBI	TOBRAMYCINE
127566						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	VERNEVELVLOEISTOF	BRAMITOB	TOBRAMYCINE
136980	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	INHALATIEPOEDER	TOBI PODHALER	TOBRAMYCINE
154024						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	CAPSULE		TOBRAMYCINE
164941						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	VERNEVELVLOEISTOF	VANTOBRA	TOBRAMYCINE
167762	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	OOGDRUPPELS		TOBRAMYCINE SULFAAT
168890						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	INFUSIEVLOEISTOF		TOBRAMYCINE SULFAAT
168912						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	INFUSIEVLOEISTOF		TOBRAMYCINE SULFAAT
169692						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	DRANK		TOBRAMYCINE SULFAAT
180963						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	OOGDRUPPELS		TOBRAMYCINE
147745	x	x				TRUE	TRUE	FALSE	FALSE	FALSE	TOBRAMYCINE/COLISTINE/AMFOTERICINE B							TOBRAMYCINE/COLISTINE/AMFOTERICINE B	PASTA VOOR OROMUCOSAAL GEBRUIK		TOBRAMYCINE SULFAAT/COLISTINE SULFAAT/AMFOTERICINE B
147753						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE/COLISTINE/AMFOTERICINE B							TOBRAMYCINE/COLISTINE/AMFOTERICINE B	SUSPENSIE VOOR ORAAL GEBRUIK		TOBRAMYCINE SULFAAT/COLISTINE SULFAAT/AMFOTERICINE B
147761						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE/COLISTINE/AMFOTERICINE B							TOBRAMYCINE/COLISTINE/AMFOTERICINE B	ZETPIL		TOBRAMYCINE SULFAAT/COLISTINE SULFAAT/AMFOTERICINE B
181978						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE/COLISTINE/AMFOTERICINE B							TOBRAMYCINE/COLISTINE/AMFOTERICINE B	ZETPIL		TOBRAMYCINE SULFAAT/COLISTINE SULFAAT/AMFOTERICINE B
182176						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE/COLISTINE/AMFOTERICINE B							TOBRAMYCINE/COLISTINE/AMFOTERICINE B	PASTA VOOR OROMUCOSAAL GEBRUIK		TOBRAMYCINE SULFAAT/COLISTINE SULFAAT/AMFOTERICINE B
130796	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOCILIZUMAB							TOCILIZUMAB	CONCENTRAAT VOOR OPLOSSING VOOR INFUSIE	ROACTEMRA	TOCILIZUMAB
137901						FALSE	FALSE	FALSE	FALSE	FALSE	TOCILIZUMAB							TOCILIZUMAB	INFUUS		TOCILIZUMAB
150258	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOCILIZUMAB							TOCILIZUMAB	INJECTIEVLOEISTOF	ROACTEMRA	TOCILIZUMAB
143448						FALSE	FALSE	FALSE	FALSE	FALSE	TOCOFEROL, DL-ALFA-							TOCOFEROL, DL-ALFA-	DRANK		TOCOFEROL, DL-ALFA- ACETAAT
149438						FALSE	FALSE	FALSE	FALSE	FALSE	TOCOFEROL, DL-ALFA-							TOCOFEROL, DL-ALFA-	DRANK		TOCOFEROL, DL-ALFA- ACETAAT
133485	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOCOFERSOLAN							TOCOFERSOLAN	DRANK	VEDROP	TOCOFERSOLAN OVEREENKOMEND MET D-ALFA-TOCOFEROL
169110						FALSE	FALSE	FALSE	FALSE	FALSE	TOFACITINIB							TOFACITINIB	TABLET	XELJANZ	TOFACITINIB CITRAAT
175366						FALSE	FALSE	FALSE	FALSE	FALSE	TOFACITINIB							TOFACITINIB	TABLET	XELJANZ	TOFACITINIB CITRAAT
180777						FALSE	FALSE	FALSE	FALSE	FALSE	TOFACITINIB							TOFACITINIB	TABLET MET GEREGULEERDE AFGIFTE	XELJANZ	TOFACITINIB CITRAAT
